player,position,team,age,club,birth_year,description,image
Aaron Mooy,MF,Australia,32,Celtic,1990,"An Australian midfielder known for his technical skills, passing accuracy, and vision on the field. He has played for various clubs and his national team, contributing both defensively and creatively.","https://digitalhub.fifa.com/transform/96fe8ea1-d2c8-4aa2-a398-0a4e7e6f650e/Australia-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Aaron Ramsey,MF,Wales,31,Nice,1990,"A Welsh midfielder with excellent box-to-box capabilities. He is known for his energy, tactical intelligence, and knack for scoring crucial goals in important matches.","https://digitalhub.fifa.com/transform/bc4d38db-13a7-49ee-b4f7-c58a75b8ca55/1441998552?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Achraf Dari,DF,Morocco,23,Brest,1999,Achraf Dari is a footballer recognized for his defensive skills and positional awareness. He contributes to his team's defensive solidity and is known for his ability to intercept passes and make crucial tackles.,"https://digitalhub.fifa.com/transform/814883ae-a895-4aac-a723-8bb5ab557255/Morocco-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Abdelkarim Hassan,DF,Qatar,29,Al Sadd SC,1993,"A Qatari left-back known for his speed, agility, and contributions in both defense and attack. He's a key player for both his club and the national team.","https://digitalhub.fifa.com/transform/8bb4bf53-a3e2-4fa7-afa7-1d902c6ea935/Qatar-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Achraf Hakimi,DF,Morocco,24,Paris S-G,1998,Achraf Hakimi is a highly-regarded full-back known for his incredible speed and offensive prowess. He excels in making attacking runs down the flanks and delivering accurate crosses. His versatility allows him to contribute in both defense and attack.,"https://digitalhub.fifa.com/transform/03f3de69-d5c1-46de-b3ef-ff56a95035af/Morocco-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Badr Banoun,DF,Morocco,29,Qatar SC,1993,Badr Banoun is a central defender known for his defensive attributes and aerial dominance. He provides stability to the backline and contributes to set-piece situations.,"https://digitalhub.fifa.com/transform/fd26ecc0-f332-4919-b020-90733111c3f2/Morocco-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Abdou Diallo,DF,Senegal,26,RB Leipzig,1996,"Abdou Diallo is a versatile French defender who can play as both a center-back and left-back. With a strong defensive presence, he excels in aerial duels and tackles. Diallo's composure on the ball and ability to start attacks from the backline add to his versatility. He has showcased his skills in both club and national team competitions.","https://digitalhub.fifa.com/transform/7a0bf8db-1494-4769-aa3f-7d131d165eb4/1442262267?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Abdul Fatawu Issahaku,FW,Ghana,18,Sporting CP,2004,"Abdul Fatawu Issahaku is a promising Ghanaian midfielder who gained attention for his performances in youth competitions. Despite his young age, Issahaku displays impressive dribbling skills and vision on the field. His ability to read the game and distribute the ball effectively sets him apart, making him a player to watch for the future.",
Abdulaziz Hatem,MF,Qatar,32,Al Rayyan SC,1990,"Abdulaziz Hatem is a Qatari midfielder known for his precise passing, playmaking abilities, and expertise in set pieces. His creative vision and ability to dictate the rhythm of the game make him a key playmaker for his team. Hatem's technical prowess and contribution to both creating and scoring goals have earned him recognition in both domestic and international competitions.","https://digitalhub.fifa.com/transform/1714595c-c7a9-40c3-abc4-6e1c70ede6a2/Qatar-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Abdulelah Al-Amri,DF,Saudi Arabia,25,Al-Nassr,1997,"Abdulelah Al-Amri is a Saudi Arabian midfielder known for his versatility and work rate. He contributes both defensively and offensively, making him an asset in various areas of the pitch.",
Abdulellah Al-Malki,MF,Saudi Arabia,28,Al-Hilal,1994,Abdulellah Al-Malki is a footballer recognized for his strong defensive attributes and tactical understanding. He excels at breaking up opponent's attacks and distributing the ball effectively.,
Abdullah Madu,DF,Saudi Arabia,29,Al-Nassr,1993,"Abdullah Madu is a footballer with a reputation for his defensive prowess. As a reliable central defender, he provides solid cover to his team's backline and contributes to maintaining defensive stability.",
Abdulrahman Al-Aboud,MF,Saudi Arabia,27,Al-Ittihad,1995,Abdulrahman Al-Aboud is a versatile player known for his adaptability in different positions. His tactical intelligence and commitment to the team make him a valuable asset in various roles on the field.,
Abolfazl Jalali,DF,IR Iran,24,Esteghlal,1998,"Abolfazl Jalali is a footballer known for his skills as a versatile midfielder. He has showcased his ability to contribute both offensively and defensively, making him a well-rounded player on the field.",
Jawad El Yamiq,DF,Morocco,30,Valladolid,1992,Jawad El Yamiq is a central defender known for his defensive attributes and aerial dominance. He provides solidity to the backline and contributes to set-piece situations.,"https://digitalhub.fifa.com/transform/42565243-e310-4b9c-996a-fe4195d21926/Morocco-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Nayef Aguerd,DF,Morocco,26,West Ham,1996,"Nayef Aguerd is a central defender known for his defensive attributes, aerial dominance, and leadership qualities. He provides solidity and organization to the backline.","https://digitalhub.fifa.com/transform/8be99692-04dd-4c92-8a86-70dc8e6901c7/Morocco-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Adrien Rabiot,MF,France,27,Juventus,1995,"Adrien Rabiot is a French midfielder known for his physicality and ability to control the midfield. He possesses good passing range and defensive capabilities, making him an important presence in both offensive and defensive transitions.","https://digitalhub.fifa.com/transform/c6bd7ccf-a7ab-45d1-9fbd-15d123128fe8/1442233546?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Agustín Canobbio,MF,Uruguay,24,Atl Paranaense,1998,"Agustín Canobbio is a footballer known for his versatility in midfield. With the ability to operate both centrally and on the flanks, he contributes to ball circulation and creative playmaking for his team.","https://digitalhub.fifa.com/transform/3fee1e25-3645-4b26-8656-9f1b10966b4e/Uruguay-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Ahmad Nourollahi,MF,IR Iran,29,Al-Ahli Dubai FC,1993,Ahmad Nourollahi is a midfielder known for his strong defensive skills and ability to shield the backline. He's proficient in winning aerial duels and breaking up opponents' attacks.,
Ahmed Alaaeldin,FW,Qatar,29,Al-Gharafa Sports Club,1993,"Ahmed Alaaeldin is a footballer known for his technical skills and versatility. He can operate in various attacking positions, contributing to his team's offensive movements.","https://digitalhub.fifa.com/transform/c87fb6e9-81d7-4fb4-8971-138d9dcf75c1/Qatar-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Aimen Dahmen,GK,Tunisia,25,CS Sfaxien,1997,Aimen Dahmen is a midfielder known for his passing accuracy and vision on the field. He can dictate the tempo of the game and contribute to creating scoring opportunities.,
